n = 10;
 
w = [
[18, 19, 45, 27, 20, 5, 37, 25, 38, 50],
[26, 3, 2, 44, 42, 28, 8, 23, 15, 4],
[8, 7, 21, 14, 35, 32, 3, 34, 30, 36],
[19, 10, 24, 14, 42, 9, 34, 42, 18, 39],
[13, 7, 30, 12, 15, 14, 26, 39, 1, 26],
[33, 26, 2, 12, 38, 20, 30, 39, 11, 49],
[13, 36, 6, 2, 32, 35, 20, 47, 3, 36],
[5, 4, 43, 36, 33, 27, 47, 9, 49, 1],
[21, 16, 2, 34, 33, 34, 18, 31, 15, 6],
[32, 48, 31, 46, 45, 34, 7, 14, 10, 3]
];
 
d = [
[42, 13, 48, 19, 36, 6, 13, 7, 50, 24],
[14, 44, 35, 34, 36, 33, 34, 15, 28, 16],
[50, 50, 4, 46, 10, 23, 29, 9, 20, 22],
[9, 35, 2, 6, 8, 14, 7, 23, 42, 50],
[6, 47, 2, 6, 48, 13, 15, 20, 11, 19],
[1, 43, 35, 33, 43, 4, 45, 34, 13, 12],
[36, 24, 15, 31, 24, 44, 30, 8, 11, 34],
[41, 8, 42, 36, 43, 13, 4, 30, 40, 37],
[27, 31, 47, 42, 10, 23, 2, 11, 19, 9],
[39, 29, 1, 33, 24, 46, 48, 27, 5, 3]
];
